Address,Latitude,Longitude
1107 LAKE STREET,46.6727,-123.71686
902 324TH PL,46.53709,-124.056015
13406 N PLACE,46.3994667,-124.0530492
2311 275TH LN,46.501278,-124.042175
20711 PACIFIC WAY,46.45348,-124.052536
1321 STATE ROUTE 4,46.35475,-123.742424
2803 225TH PLACE,46.46538,-124.0373
6810 V PL,46.351997,-124.044395
30808 G STREET,46.525585,-124.05743
1345 BELMONT RD,46.67202,-123.69142
557 ELK PRAIRIE ROAD,46.53952,-123.47285
5715 WILSON CREEK RD,46.67757,-123.66305
150 SOUTH FORK ROAD,46.627693,-123.69299
17708 SANDRIDGE ROAD,46.431534,-124.02214
3607 HUNT CLUBB ROAD,46.64472,-123.6762
620 LINCOLN AVE,46.67858,-123.74113
859 PETERS STREET,46.675312,-123.744545
39 MONOHAN LANDING ROAD,46.694286,-123.73246
32 ELLIOTT ROAD,46.6645,-123.77365
224 STATE ROUTE 6,46.675343,-123.7045
2392 BLOOMHARDT RD,46.658287,-123.72607
144 MONOHON LANDING RD,46.69583,-123.72729
2607 247TH PLACE,46.481113,-124.038994
1540 ARMSTRONG ROAD,46.668655,-123.6784
806 WASHINGTON AVE S,46.34652,-124.052704
2007 41ST PL,46.332245,-124.047615
1010 WILLAPA ROAD,46.673813,-123.66936
828 JACKSON AVE,46.675827,-123.744084
4103 180TH PLACE,46.43246,-124.02486
301 STATE ROUTE 105,46.682457,-123.778946
14214 BIRCH STREET,46.404957,-124.039024
654 MILL CREEK ROAD,46.62527,-123.59634
1211 WILLAPA ST,46.69477,-123.741844
1317 PAULDING STREET,46.67115,-123.68271
805 CALIFORNIA AVE,46.665897,-123.78487
33609 I STREET,46.54553,-124.055435
2987 STATE RT 6,46.551624,-123.53151
25009 Z PLACE,46.48376,-124.03875
1501 186TH LANE,46.436928,-124.05199
23812 J PLACE,46.513123,-124.05483
1420 48TH PLACE UNIT #B-4,46.336424,-124.05167
2403 265TH PLACE,46.494213,-124.04123
2327 SANDELL,46.674767,-123.70583
24211 GILE PLACE,46.477688,-124.031586
428 STATE ROUTE 105,46.683216,-123.7823
27411 X LN,46.50047,-124.0406
669 WARD CREEK RD,46.726234,-123.642
17 GOLDAU ROAD,46.587757,-123.62177
1107 LAKE STREET,46.6727,-123.71686
17708 SANDRIDGE ROAD,46.431534,-124.02214
3303 SIENKO ROAD,46.66674,-123.693825
