Address,Latitude,Longitude
12211 Y PLACE,46.390491,-124.042023
274 STATE ROUTE 105,46.68232,-123.762758
6407 V PLACE,46.34852,-124.044945
1133 BALLENTINE STREET,46.67188,-123.74071
1158 BALLENTINE ST,46.671623,-123.74071
15 ULLAKKO ROAD,46.350967,-123.8123
214 KNAPPTON ROAD,46.356762,-123.81234
300 PARPALA ROAD,46.381123,-123.84121
2205 231ST LANE,46.46951,-124.04413
13509 SANDRIDGE ROAD,46.3993,-124.02374
6902 ROCHELLE WAY,46.317463,-124.00585
7 POLLARI ROAD,46.68233,-123.77571
20610 CRANE PL,46.451344,-124.03769
537 OSTMAN ROAD,46.66868,-123.73986
1616 RIDDELL STREET,46.694687,-123.7428
1108 303RD PLACE,46.521534,-124.052666
2742 STATE ROUTE 6,46.542366,-123.50649
2417 275TH PLACE,46.501236,-124.041565
23812 J PLACE,46.513123,-124.05483
719 MAIN STREET,46.674835,-123.7817999
37 BALE ROAD,46.684013,-123.778206
56 AIRPORT ROAD,46.68467,-123.783066
15311 BIRCH STREET,46.412704,-124.03906
1311 314TH PLACE,46.529613,-124.05214
19407 K PLACE,46.442879,-124.056003
1611 OCEAN BEACH BLVD S #3,46.341474,-124.057026
30205 X PLACE,46.52054,-124.03907
210 18TH STREET NE,46.3654439,-124.051588
811 BIRD AVE,46.674572,-123.71565
745 BARNHART STREET,46.67676,-123.742035
428 STATE ROUTE 105,46.683216,-123.7823
1109 196TH PLACE,46.4441315,-124.0529113
279 PARPALA ROAD,46.373814,-123.82924
44 UPPER NASELLE RD,46.36748,-123.771416
1702 179TH LN,46.431664,-124.0509
1412 189TH PL,46.439354,-124.05309
980 WHIPPLE AVE,46.742054,-124.088823
5660 CENTRAL STREET,46.67214,-123.661995
1204 GODFREY STREET,46.694874,-123.74426
31508 J PLACE,46.53034,-124.05394
1904 320TH PLACE,46.534058,-124.04522
2000 224TH PLACE,46.464447,-124.04589
925 HOWARD ST,46.692142,-123.74659
21310 BIRCH PL,46.456333,-124.037834
176 WARD CREEK,46.689484,-123.65588
945 CLAY STREET,46.674606,-123.7181
2304 300TH PL,46.51954,-124.04132
2383 BLOOMHARDT ROAD,46.65842,-123.72598
901 344TH STREET,46.55108,-124.05492
21014 BIRCH PLACE,46.454765,-124.03726
1801 201ST ST,46.447575,-124.048325
14918 SANDRIDGE RD,46.409595,-124.02256
904 WILLAPA RD,46.674908,-123.66942
1302 DURYEA STREET,46.68667,-123.72181
17708 SANDRIDGE ROAD,46.431534,-124.02214
1110 WATER ST,46.69392,-123.73827
1218 GODFREY STREET,46.69538,-123.744255
569 BARNHART STREET,46.67915,-123.74205
132 AIRPORT ROAD,46.687202,-123.78955
920 CRESCENT STREET,46.691822,-123.74538
501 SHOREVIEW DRIVE S #402,46.34808,-124.05819
980 WHIPPLE AVE,46.742054,-124.088823
121 ALEXANDER ROAD,46.65747,-123.65972
1367 STATE ROUTE 4,46.35447,-123.73683
32306 H PL,46.514294,-124.056725
2007 41ST PL,46.332245,-124.047615
1308 FOWLER,46.669346,-123.739728
1407 PARK AVENUE,46.6937,-123.74524
142 SOUTH FORK ROAD,46.633457,-123.65766
2603 SEA CREST AVENUE N,46.371251,-124.054725
1158 BALLENTINE ST,46.671623,-123.74071
41 RUE CREEK ROAD,46.621906,-123.64842
4119 142ND LN,46.40493,-124.02632
2053 301ST LANE,46.52055,-124.0511
800 TAFT AVENUE,46.671043,-123.74198
1410 48TH PLACE UNIT A-1,46.336994,-124.052021
697 WARD CREEK ROAD,46.72783,-123.641975
1030 WILLAPA RD,46.673615,-123.66936
30909 SANDRIDGE RD,46.52591,-124.03075
2722 234TH LN,46.471,-124.03788
23829 ISLE PLACE,46.474632,-124.029884
1211 WILLAPA ST,46.69477,-123.741844
2005 WILLIAMS ST,46.67695,-123.71063
1122 HOWARD STREET,46.693863,-123.74724
30408 J PL,46.52259,-124.05433
35208 I PLACE,46.52084,-124.05502
27702 O PLACE,46.503384,-124.05001
45 BALE ROAD,46.684162,-123.778206
727 MC KINLEY AVENUE,46.6725574,-123.7428446
20303 PACIFIC WAY,46.4491919,-124.053167
2307 SID SNYDER DRIVE,46.346304,-124.043856
1504 196TH STREET,46.443764,-124.05193
1235 FOWLER ROAD,46.66956,-123.739395
801 DURYEA ST,46.686615,-123.727295
21609 SANDRIDGE ROAD,46.458286,-124.02962
8005 SANDRIDGE RD,46.360344,-124.02886
811 BIRD AVE,46.674572,-123.71565
425 ELLIS ST,46.687847,-123.73155
402 28TH STREET NW,46.37423,-124.05817
