Address,Latitude,Longitude
20807 CRANE PL,46.451862,-124.03773
32901 R LN,46.491528,-124.04754
2705 SEA CREST AVE,46.3730038,-124.0543693
No. 2 OCEAN AVENUE,46.6795708,-123.7593371
25006 Z PL,46.483757,-124.038734
2280 STATE RT 6,46.560072,-123.562256
12211 Y PLACE,46.390491,-124.042023
274 STATE ROUTE 105,46.68232,-123.762758
32108 K PLACE,46.53687,-124.05302
75 HYLAND STRINGER RD,46.58877,-123.63631
777 WILLAPA FIRST STREET,46.67664,-123.66835
1717 KRAUSE ROAD,46.666283,-123.69033
1505 KRAUSE RD,46.668003,-123.69036
5660 CENTRAL STREET,46.67214,-123.661995
6407 V PLACE,46.34852,-124.044945
3003 WILLAPA RD,46.672874,-123.69825
2375 COLORADO AVENUE,46.6746919,-123.7651099
35208 I PLACE,46.52084,-124.05502
1133 BALLENTINE STREET,46.67188,-123.74071
27840 Y PLACE,46.503757,-124.03935
7 POLLARI ROAD,46.68233,-123.77571
20601 BIRCH PL,46.45111,-124.039085
1070 WHIPPLE AVENUE,46.741783,-124.08341
1158 BALLENTINE ST,46.671623,-123.74071
30110 W ST,46.52063,-124.04163
15 ULLAKKO ROAD,46.350967,-123.8123
1909 196TH ST,46.44373,-124.04857
514 12TH STREET,46.688026,-123.722984
35 MAPLE LEAF STREET,46.626293,-123.65368
214 KNAPPTON ROAD,46.356762,-123.81234
300 PARPALA ROAD,46.381123,-123.84121
501 SHOREVIEW DR S #403,46.34808,-124.05819
994 SALMON CREEK ROAD,46.398525,-123.674705
7004 ORTELIUS DR,46.318947,-124.004326
15808 SANDRIDGE RD,46.416695,-124.021835
2205 231ST LANE,46.46951,-124.04413
2404 HUNT ST,46.67358,-123.702995
13509 SANDRIDGE ROAD,46.3993,-124.02374
1010 WILLAPA ROAD,46.673813,-123.66936
2210 266TH PLACE,46.494778,-124.039696
31204 M STREET,46.527996,-124.05165
31200 N PL,46.52797,-124.05056
6902 ROCHELLE WAY,46.317463,-124.00585
7 POLLARI ROAD,46.68233,-123.77571
1410 275TH PL,46.50175,-124.0516
