Address,Latitude,Longitude
898 STATE ROUTE 4,46.3742,-123.78795
2511 66TH PL,46.35054,-124.04266
610 BARNHART STREET,46.678375,-123.742065
159 UPPER NASELLE ROAD,46.371113,-123.759445
1410 301ST PLACE,46.520546,-124.051506
30111 G STREET,46.520164,-124.05708
1262 STATE ROUTE 6,46.604496,-123.63017
4466 TRESIZE ROAD,46.679344,-123.68211
2014 JOE JOHNS ROAD,46.512096,-124.04399
2980 272ND ST,46.49894,-124.03522
1042 CROSSING STREET,46.67483,-123.70374
3304 224TH LANE,46.463424,-124.032968
5619 US HIGHWAY 101,46.50889,-123.88609
29408 O STREET,46.514576,-124.049644
31 HURT ROAD,46.56291,-123.62168
2607 247TH PLACE,46.481113,-124.038994
4 NYBERG ROAD,46.346867,-123.812775
21411 Q LN,46.45802,-124.04973
10430 US HWY 101,46.761677,-123.754456
852 FIR STREET,46.68182,-123.74839
1063 SUMMIT AVENUE,46.67219,-123.783844
34 BREEN ROAD,46.539303,-123.46986
263 JOE ROCKEY ROAD,46.662807,-123.73349
1755 NELSON ROAD,46.66548,-123.694405
1218 GODFREY ST,46.69538,-123.744255
20610 CRANE PL,46.451344,-124.03769
13402 T LN,46.3990108,-124.0476654
87 ELKHORN ROAD,46.77834,-123.73389
2429 EVERGREEN PARK RD,46.788254,-124.07937
1504 268TH PL,46.496544,-124.04945
18409 SANDRIDGE ROAD,46.43531,-124.023026
17 NORTH VALLEY ROAD,46.371838,-123.78247
716 PLUM STREET,46.676308,-123.71971
1317 PAULDING STREET,46.67115,-123.68271
7003 ORTELIUS DRIVE,46.31895,-124.00438
864 MUELLER STREET,46.67589,-123.70734
912 OCEAN AVENUE,46.682293,-123.74492
29509 G ST,46.51622,-124.05706
3765 LARKIN ROAD,46.739918,-124.07494
5650 US HWY 101,46.511112,-123.885994
2805 228TH PLACE,46.467033,-124.03771
2800 224TH STREET,46.4642,-124.03795
321 11TH STREET,46.685913,-123.724014
1251 RAYMOND-SOUTH BEND RD,46.674133,-123.74905
24811 DELL PLACE,46.48172,-124.035286
25006 Z PL,46.483757,-124.038734
30108 J PLACE,46.52048,-124.05436
921 BIRD AVENUE,46.67446,-123.71565
35 MAPLE LEAF STREET,46.626293,-123.65368
261 CAMP ONE ROAD,46.65848,-123.66875
708 PETERS ST,46.677086,-123.744545
10200 SANDRIDGE ROAD,46.376053,-124.0268
1124 HARRISON AVE,46.6735,-123.74703
8 HUDZIAK ROAD,46.577457,-123.61923
15 WILSON LANE,46.636772,-123.92196
30504 L PL,46.523727,-124.05236
190 N NEMAH ROAD EAST,46.514538,-123.866745
2468 STATE ROUTE 105,46.785076,-124.084236
709 OLIVE ST,46.67684,-123.70945
2705 SEA CREST AVE,46.3730038,-124.0543693
25004 SANDRIDGE RD,46.483097,-124.034164
28218 W LANE,46.507153,-124.04147
1805 PARK AVENUE,46.693737,-123.7405
2304 300TH PL,46.51954,-124.04132
35010 I PLACE,46.520157,-124.05498
711 PLUM STREET,46.67633,-123.7197
50 BALE ROAD,46.684258,-123.77819
56 AIRPORT ROAD,46.68467,-123.783066
1580 134TH LANE,46.399105,-124.04885
2710 SEA CREST AVE,46.373021,-124.05411
820 CALIFORNIA STREET,46.665894,-123.78462
29008 M LANE,46.512367,-124.05202
31508 J PLACE,46.53034,-124.05394
29012 S LANE,46.512383,-124.04584
133 FALL RIVER ROAD,46.766045,-123.51471
1137 STATE ROUTE 4,46.359882,-123.76384
