Address,Lat,Long
1 ULLAKKO RD,46.35097,-123.81263
10 KOVEN ROAD,46.367306,-123.81674
10 RYE LANE,46.587673,-123.619364
10 SPRUCE LANE,46.646225,-123.924553
10 WASHINGTON CEMETERY RD,46.69611,-123.72903
1000 COLE AVENUE,46.674603,-123.68637
10006 SANDRIDGE ROAD,46.373966,-124.02704
1002 BARNHART,46.673607,-123.742004
1005 WASHINGTON AVENUE,46.3458956,-124.0534733
101 ELKHORN RD,46.778465,-123.72841
1010 202ND LANE,46.448452,-124.05475
1010 CROSSING ST,46.674866,-123.70374
1010 VIRGINIA,46.67198,-123.78014
1010 WILLAPA FIRST,46.673839,-123.668618
1010 WILLAPA ROAD,46.673813,-123.66936
1011 POPLAR LANE,46.67337,-123.74894
1013 DURYEA STREET,46.686638,-123.72477
1014 STATE ROUTE 4,46.365868,-123.77608
1015 227TH LN #150,46.467056,-124.055534
10157 US HWY 101,46.747894,-123.74946
10179 US HWY 101,46.742626,-123.746086
1018 DURYEA STREET,46.686626,-123.724724
10181 US HWY 101,46.742676,-123.746124
102 LEBAM ROAD,46.562958,-123.56392
102 RAFF ROAD,46.38315,-123.73018
1020 MUELLER ST,46.674263,-123.70789
10200 SANDRIDGE ROAD,46.376053,-124.0268
1026 BALLENTINE STREET,46.67325,-123.74075
1029 WILLAPA ROAD,46.67355,-123.669334
1030 STATE ROUTE 4,46.36558,-123.77512
1030 WILLAPA RD,46.673615,-123.66936
1030 WILLAPA ROAD,46.673615,-123.66936
10307 SANDRIDGE ROAD,46.376717,-124.02675
1033 QUINCY STREET,46.672707,-123.7849
1035 BRADFORD STREET,46.673065,-123.745766
1036 BARNHART ST,46.67324,-123.742004
1042 CROSSING STREET,46.67483,-123.70374
1043 HOWARD STREET,46.693512,-123.74662
10430 US HWY 101,46.761677,-123.754456
105 19TH STREET NE,46.3661627,-124.0531962
105 DIXON ROAD,46.74969,-123.76045
105 NORTH VALLEY ROAD,46.371998,-123.77158
1051 SUMMIT AVENUE,46.672054,-123.784
10515 PACIFIC WAY,46.379265,-124.053055
1054 POPLAR LN,46.673138,-123.74893
10584 US HWY 101,46.7762,-123.74213
106 24TH STREET NE,46.369553,-124.05324
1060 FOWLER STREET,46.672886,-123.739365
10612 US HIGHWAY 101,46.783863,-123.74095
1063 SUMMIT AVENUE,46.67219,-123.783844
107 NORTH VALLEY RD,46.371998,-123.77099
1070 PROSPECT,46.671535,-123.78316
1070 WHIPPLE AVENUE,46.741783,-124.08341
1071 STATE ROUTE 4 UNIT 342A,46.36394,-123.77006
108 28TH ST NW,46.373554,-124.05375
108 QUINCY ST,46.663888,-123.787356
1080 BONNIE LN,46.75375,-124.083626
1081 STATE ROUTE 4,46.363388,-123.76916
1089 STATE RT 4,46.363392,-123.767499
109 23RD STREET NE,46.3689,-124.05327
109 HARRISON STREET,46.6633895,-123.7829684
10904 SANDRIDGE RD,46.38045,-124.02631
1092 STATE ROUTE 4,46.3625471,-123.7678862
11 ECKY LANE,46.365746,-123.78617
110 SOUTH BEND PALIX ROAD,46.61254,-123.9067
1100 322ND ST,46.535313,-124.05423
1101 WASHINGTON AVE,46.34529,-124.05343
1102 DIVISION AVE,46.671764,-123.71431
1102 SUMMIT AVENUE,46.6832,-123.74756
1103 WILLAPA AVENUE,46.660652,-123.83057
1104 PAULDING STREET,46.672604,-123.68292
1104 WILLAPA STREET,46.69384,-123.74185
1105 195TH ST,46.44356,-124.055511
1105 WILLAPA STREET,46.69384,-123.74184
1107 LAKE STREET,46.6727,-123.71686
1107 SALMON CREEK ROAD,46.407071,-123.677273
1108 303RD PLACE,46.521534,-124.052666
1109 196TH PLACE,46.4441315,-124.0529113
111 RICHTER RD,46.62379,-123.65761
1110 187TH PLACE,46.437744,-124.054405
1110 WATER ST,46.69392,-123.73827
1111 DURYEA STREET,46.68665,-123.72387
1112 GODFREY ST,46.693882,-123.74425
1112 STATE ROUTE 4,46.360534,-123.767122
1112 WASHINGTON AVENUE N,46.360535,-124.05204
1119 DURYEA ST,46.68665,-123.72379
1119 GODFREY ST,46.69393,-123.74424
112 28TH ST NW,46.373558,-124.05394
1120 GAYLORD ST,46.69396,-123.74307
1120 GODFREY ST,46.693947,-123.744255
1120 LUDINGTON AVENUE,46.673847,-123.68895
1120 WILLAPA STREET,46.693974,-123.74185
1121 CEDAR ST,46.693977,-123.74062
1121 CEDAR STREET,46.693977,-123.74062
1122 DURYEA ST,46.68664,-123.723755
1122 HOWARD STREET,46.693863,-123.74724
1124 HARRISON AVE,46.6735,-123.74703
1125 SHERMAN AVENUE,46.684002,-123.74841
1127 GODFREY ST,46.693996,-123.74424
1127 LARCH STREET,46.694042,-123.73945
1128 STATE RT 6,46.614353,-123.64229
11313 PACIFIC HIGHWAY,46.3496271,-124.054848
1133 BALLENTINE STREET,46.67188,-123.74071
1134 MILL CREEK ROAD,46.633263,-123.53062
1135 LINDGREN ROAD,46.771385,-124.0801
1135 WATER STREET,46.69412,-123.73826
1137 STATE ROUTE 4,46.359882,-123.76384
1139 STATE ROUTE 4,46.35981,-123.76373
114 AIRPORT ROAD,46.686226,-123.78814
1140 DEAL STREET,46.673103,-123.68416
1140 FOWLER STREET,46.67167,-123.73898
1143 CEDAR STREET,46.694168,-123.74062
1143 WILLAPA ST,46.69416,-123.74184
1144 HOWARD STREET,46.69405,-123.747246
1145 DEAL STREET,46.673065,-123.68414
1148 PAULDING STREET,46.67257,-123.68292
1155 PAULDING STREET,46.672886,-123.682915
1158 BALLENTINE ST,46.671623,-123.74071
1169 PROSPECT AVENUE,46.673843,-123.78066
1172 STATE ROUTE 4,46.35672,-123.760261
1172 STATE RT 4,46.35672,-123.760261
1180 PAULDING STREET,46.672543,-123.68292
119 ELK CREEK ROAD,46.710255,-123.71419
1192 STATE ROUTE 4,46.354911,-123.759188
1198 STATE ROUTE 4,46.355582,-123.758032
12 BREEN ROAD,46.539368,-123.47114
120 ELK CREEK ROAD,46.707287,-123.71239
120 NORTH VALLEY RD,46.37196,-123.76887
120 STRINGTOWN ROAD,46.30912,-123.983955
1200 302ND ST,46.520676,-124.05228
1201 187TH PLACE,46.437756,-124.05447
1203 PARK AVENUE,46.69339,-123.74775
1203 QUINAULT ST,46.6768177,-123.719811
1204 311TH STREET,46.527466,-124.052734
1204 GODFREY STREET,46.694874,-123.74426
1205 201ST LANE,46.447803,-124.053215
1206 320TH PLACE,46.53414,-124.05053
1208 188TH PLACE,46.438297,-124.05374
1208 218TH LANE,46.46008,-124.05407
1209 201ST LN,46.447803,-124.053185
121 ALEXANDER ROAD,46.65747,-123.65972
1210 DURYEA STREET,46.686665,-123.722786
1211 LARCH ST,46.694874,-123.73946
1211 PARK AVENUE,46.693413,-123.74769
1211 WILLAPA ST,46.69477,-123.741844
1212 266TH PL,46.495148,-124.05249
1212 BELMONT ROAD,46.672073,-123.691444
1212 FOWLER STREET,46.67068,-123.739174
1213 HENKLE ST,46.68198,-123.729965
1216 196TH ST,46.443978,-124.054001
1217 GODFREY ST,46.694824,-123.74425
1218 GODFREY ST,46.69538,-123.744255
1218 GODFREY STREET,46.69538,-123.744255
1219 LARCH STREET,46.694942,-123.73946
1220 LARCH ST,46.694958,-123.73948
1220 TOWER AVENUE,46.687492,-123.72272
1221 WILLAPA FIRST ST,46.671826,-123.667309
12211 Y PLACE,46.390491,-124.042023
123 TRAP CREEK LANE,46.547203,-123.61614
1230 FOWLER STREET,46.670612,-123.739204
1234 QUINCY STREET,46.67561,-123.781624
1234 SHERMAN AVE,46.68326,-123.74888
1234 WATER ST,46.694935,-123.73829
1235 FOWLER ROAD,46.66956,-123.739395
1235 HOWARD STREET,46.694916,-123.747246
1235 MILL STREET,46.695072,-123.73709
12415 PACIFIC WAY,46.386574,-124.05285
1242 MILL STREET,46.695072,-123.73711
1245 STATE RT 6,46.60663,-123.63296
1251 RAYMOND-SOUTH BEND RD,46.674133,-123.74905
1253 QUINCY,46.67607,-123.78108
126 NEMAH VALLEY ROAD,46.515114,-123.84776
1262 STATE ROUTE 6,46.604496,-123.63017
1275 UDELL-HANSEN ROAD,46.764965,-124.07343
12803 Y PLACE,46.3950298,-124.0416206
12912 N ALLEY,46.395485,-124.0536
1293 DOLAN STREET,46.671074,-123.679245
130 NORTH VALLEY RD,46.37198,-123.77028
13008 BIRCH ST,46.39663,-124.039246
1301 120TH PLACE,46.38893,-124.05511
1302 324TH PLACE,46.537018,-124.05128
1302 DURYEA STREET,46.68667,-123.72181
1303 MILL STREET,46.69525,-123.73709
1303 UDELL-HANSEN RD,46.76508,-124.07192
1304 145TH PL,46.407345,-124.053215
1304 TOWER AVENUE,46.687504,-123.722176
1305 145TH PL,46.40738,-124.05429
1305 198TH PL,46.445892,-124.054054
1305 PARK AVE,46.693684,-123.74649
1306 324TH PLACE,46.537018,-124.05125
1308 FOWLER,46.669346,-123.739728
131 HYLAND STRINGER ROAD,46.58434,-123.65031
1310 216TH LANE,46.458454,-124.05499
1311 264TH PLACE,46.493713,-124.05179
1311 314TH PLACE,46.529613,-124.05214
1313 280TH PL,46.505207,-124.05264
1313 TOWER AVENUE,46.687515,-123.72212
1314 164TH PL,46.420746,-124.05385
1317 PAULDING STREET,46.67115,-123.68271
1319 LACKIE ROAD,46.668972,-123.68802
132 AIRPORT ROAD,46.687202,-123.78955
1320 179TH LANE,46.43196,-124.05165
1320 BLAKE STREET,46.68469,-123.72161
1320 LARCH STREET,46.69601,-123.73948
13201 PACIFIC WAY,46.39704,-124.05297
13208 N PACIFIC WAY,46.39721,-124.05294
1321 STATE ROUTE 4,46.35475,-123.742424
13220 SANDRIDGE ROAD,46.4004,-124.02356
133 FALL RIVER ROAD,46.766045,-123.51471
1335 MORRIS AVE,46.678562,-123.720566
1337 LARCH STREET,46.696186,-123.739456
13402 T LN,46.3990108,-124.0476654
13406 N PLACE,46.3994667,-124.0530492
13406 TEAL LANE,46.39895,-124.02029
1345 BELMONT RD,46.67202,-123.69142
13509 SANDRIDGE ROAD,46.3993,-124.02374
1357 GRUHN ROAD,46.669674,-123.694496
1357 SALMON CREEK ROAD,46.4122,-123.66157
136 WILSON LANE,46.639034,-123.934395
1361 ANDREW STREET,46.671448,-123.69278
1367 STATE ROUTE 4,46.35447,-123.73683
1368 STATE ROUTE 401,46.319424,-123.80056
13802 SANDRIDGE RD,46.40239,-124.02328
13807 BIRCH ST,46.401768,-124.03913
1386 PAULDING ST,46.67066,-123.68198
139 OVERMEYER ROAD,46.697407,-123.694405
14 AIRPORT ROAD,46.68307,-123.77798
14 KASANDRA LANE,46.371784,-123.76868
14 SUNSET RD,46.609267,-123.9570114
140 28TH ST NW,46.3736808,-124.0556007
140 KNAPPTON ROAD,46.350296,-123.81292
1400 104TH LANE,46.377903,-124.05382
1400 138TH STREET,46.4021859,-124.0540616
1401 120TH PLACE,46.388935,-124.05446
1404 167TH LN,46.422676,-124.053764
1404 FOWLER ROAD,46.668606,-123.73869
1404 GROVE AVENUE,46.69634,-123.74533
1405 303RD PLACE,46.52173,-124.05113
1405 OCEAN BEACH BLVD N,46.360798,-124.05477
1406 281ST PLACE,46.505882,-124.05075
1407 PARK AVENUE,46.6937,-123.74524
1409 295TH STREET,46.515846,-124.050514
1410 275TH PL,46.50175,-124.0516
1410 300TH PLACE,46.519787,-124.050476
1410 301ST PLACE,46.520546,-124.051506
1410 48TH PL #A-14,46.336994,-124.052021
1410 48TH PLACE UNIT A-1,46.336994,-124.052021
1412 189TH PL,46.439354,-124.05309
1414 194TH PL,46.4430635,-124.0520469
142 S VALLEY RD,46.367207,-123.798454
142 SOUTH FORK ROAD,46.633033,-123.673104
142 UPPER NASELLE ROAD,46.370876,-123.76069
1420 48TH PLACE UNIT #B-4,46.336424,-124.05167
1420 PORTOLA AVENUE,46.697334,-123.74239
14214 BIRCH STREET,46.404957,-124.039024
1425 RAYMOND SOUTH BEND RD,46.671276,-123.75144
1428 232ND LN,46.47041,-124.053314
1435 LARCH ST,46.697796,-123.739494
144 MONOHON LANDING RD,46.69583,-123.72729
14405 BIRCH STREET,46.406006,-124.03904
14408 BIRCH STREET,46.40602,-124.039024
1450 ARMSTRONG ROAD,46.669193,-123.678474
146 SOUTH VALLEY ROAD,46.36706,-123.79816
1470 ARMSTRONG ST,46.669647,-123.67981
1481 PACIFIC AVENUE,46.677727,-123.71841
1483 BLOOMHARDT ROAD,46.667942,-123.71938
1487 ANDERSON LANE,46.697067,-123.738884
14904 BIRCH STREET,46.40981,-124.03916
14918 SANDRIDGE RD,46.409595,-124.02256
15 BEZEMER ROAD,46.691383,-123.68608
15 CAMP ONE ROAD,46.645885,-123.65984
15 ULLAKKO ROAD,46.350967,-123.8123
15 WILSON LANE,46.636772,-123.92196
150 SOUTH FORK ROAD,46.627693,-123.69299
1500 300TH PLACE,46.51999,-124.050064
15003 BIRCH ST,46.41018,-124.03916
15007 SANDRIDGE ROAD,46.411026,-124.022446
1501 179TH PLACE,46.431973,-124.051865
1501 186TH LANE,46.436928,-124.05199
1501 LARCH ST,46.698586,-123.73952
15024 PACIFIC WAY,46.41116,-124.05219
1504 196TH STREET,46.443764,-124.05193
1504 268TH PL,46.496544,-124.04945
1504 323RD AVENUE,46.536297,-124.04977
1504 PACIFIC AVENUE N,46.36198,-124.053955
1504 PARK AVENUE,46.6937,-123.7441
1504 SE IDAHO ST,46.34246,-124.05254
1505 KRAUSE RD,46.668003,-123.69036
1507 300TH PL,46.520027,-124.04989
