No.,Label,Occupancy Class,Slight,Moderate,Extensive,Complete
1,RES1 ,Single Family Dwelling ,0.50,2.70,8.00,26.60
2,RES2 ,Mobile Home ,0.80,3.80,11.30,37.80
3-8,RES3a-f,Multi Family Dwelling ,0.80,4.30,13.10,43.70
9,RES4 ,Temporary Lodging ,0.90,4.30,13.00,43.20
10,RES5 ,Institutional Dormitory ,0.80,4.10,12.40,41.20
11,RES6 ,Nursing Home ,0.80,4.10,12.20,40.80
12,COM1 ,Retail Trade ,0.80,4.40,12.90,43.10
13,COM2 ,Wholesale Trade ,0.80,4.20,12.40,41.10
14,COM3 ,Personal and Repair Services ,1.00,5.00,15.00,50.00
15,COM4 ,Professional/Technical/Business  Services ,0.90,4.80,14.40,47.90
16,COM5 ,Banks/Financial Institutions ,1.00,5.20,15.50,51.70
17,COM6 ,Hospital ,1.00,5.10,15.40,51.30
18,COM7 ,Medical Office/Clinic ,1.00,5.20,15.30,51.20
19,COM8 ,Entertainment & Recreation  ,1.10,5.40,16.30,54.40
20,COM9 ,Theaters ,1.00,5.30,15.80,52.70
21,COM10 ,Parking ,0.30,2.20,6.50,21.70
22,IND1 ,Heavy ,1.40,7.20,21.80,72.50
23,IND2 ,Light ,1.40,7.20,21.80,72.50
24,IND3 ,Food/Drugs/Chemicals ,1.40,7.20,21.80,72.50
25,IND4 ,Metals/Minerals Processing ,1.40,7.20,21.80,72.50
26,IND5 ,High Technology ,1.40,7.20,21.80,72.50
27,IND6 ,Construction ,1.40,7.20,21.80,72.50
28,AGR1 ,Agriculture ,0.80,4.60,13.80,46.10
29,REL1 ,Church/Membership Organization,0.90,4.70,14.30,47.60
30,GOV1 ,General Services ,1.00,4.90,14.80,49.30
31,GOV2 ,Emergency Response ,1.00,5.10,15.10,50.50
32,EDU1 ,Schools/Libraries ,0.70,3.20,9.70,32.40
33,EDU2 ,Colleges/Universities ,0.60,2.90,8.70,29.00
